date,stock_price,premium,premium_protection,strike_date,strike_price,strike_margin,time_to_expire_days,volume_traded
2021-01-22,53.84553500000001,0.15,0.002785746301898569,2021-02-22,58.16553500000001,0.0802294934946788,31,36.0
2021-01-22,53.84553500000001,0.22,0.004085761242784568,2021-02-22,57.16553500000001,0.061657851482021665,31,218.0
2021-01-22,53.84553500000001,0.56,0.010400119527087992,2021-03-15,56.66553500000001,0.0523720304756931,52,1762.0
2021-01-22,53.84553500000001,0.05,0.0009285821006328564,2021-02-22,58.66553500000001,0.08951531450100736,31,5.0
2021-01-22,53.84553500000001,0.27,0.005014343343417425,2021-02-22,56.66553500000001,0.0523720304756931,31,1522.0
2021-01-22,53.84553500000001,0.76,0.014114447929619417,2021-03-15,55.66553500000001,0.03380038846303598,52,2692.0
2021-01-22,53.84553500000001,0.47,0.00872867174594885,2021-02-22,55.66553500000001,0.03380038846303598,31,890.0
2021-01-22,53.84553500000001,1.0,0.018571642012657128,2021-02-22,53.66553500000001,-0.0033428955622782776,31,2460.0
2021-01-26,54.53553500000001,0.11,0.002017033481013801,2021-02-22,58.66553500000001,0.07573043887806366,27,142.0
2021-01-26,54.53553500000001,0.34,0.006234467123133567,2021-02-22,57.16553500000001,0.04822543686423911,27,799.0
2021-01-26,54.53553500000001,0.15,0.0027505002013824558,2021-02-22,58.16553500000001,0.06656210487345549,27,888.0
2021-01-26,54.53553500000001,1.08,0.019803601449953682,2021-03-15,55.66553500000001,0.020720434850414547,48,13390.0
2021-01-26,54.53553500000001,0.07,0.0012835667606451461,2021-02-22,59.16553500000001,0.08489877288267185,27,634.0
2021-01-26,54.53553500000001,0.7,0.01283566760645146,2021-03-15,57.16553500000001,0.04822543686423911,48,70.0
2021-01-26,54.53553500000001,2.99,0.05482663734755696,2021-03-15,52.66553500000001,-0.03428956917723457,48,598.0
2021-01-26,54.53553500000001,1.54,0.028238468734193216,2021-03-15,54.66553500000001,0.002383766841198175,48,827.0
2021-01-26,54.53553500000001,0.22,0.004034066962027602,2021-02-22,57.66553500000001,0.057393770868847296,27,230.0
2021-01-26,54.53553500000001,0.8,0.0146693344073731,2021-03-15,56.66553500000001,0.03905710285963092,48,1050.0
2021-01-26,54.53553500000001,1.5,0.02750500201382456,2021-04-19,55.70553500000001,0.02145390157078319,83,13380.0
2021-01-26,54.53553500000001,0.83,0.015219434447649588,2021-02-22,55.16553500000001,0.011552100845806362,27,1733.0
2021-01-26,54.53553500000001,2.49,0.04565830334294877,2021-02-22,52.66553500000001,-0.03428956917723457,27,498.0
2021-01-26,54.53553500000001,0.37,0.006784567163410058,2021-02-22,56.66553500000001,0.03905710285963092,27,24771.0
2021-01-26,54.53553500000001,1.89,0.03465630253741894,2021-02-22,53.66553500000001,-0.0159529011680182,27,3894.0
2021-01-26,54.53553500000001,1.01,0.018520034689308535,2021-03-15,55.91553500000001,0.02530460185271864,48,1818.0
